k,n,dist,treatment_shift,test_name,alpha,rejection_rate
3,2,F1,15.168539325842698,DD_test,0.05,0.385304
3,2,F1,15.168539325842698,JT_test,0.1,0.5365
3,2,F1,15.168539325842698,DD_test,0.1,0.607236
3,2,F1,15.730337078651687,JT_test,0.01,0.0
3,2,F1,15.730337078651687,DD_test,0.01,0.0
3,2,F1,15.730337078651687,JT_test,0.05,0.2678
3,2,F1,15.730337078651687,DD_test,0.05,0.399088
3,2,F1,15.730337078651687,JT_test,0.1,0.547368
3,2,F1,15.730337078651687,DD_test,0.1,0.626212
3,2,F1,16.292134831460675,JT_test,0.01,0.0
3,2,F1,16.292134831460675,DD_test,0.01,0.0
3,2,F1,16.292134831460675,JT_test,0.05,0.272996
3,2,F1,16.292134831460675,DD_test,0.05,0.411236
3,2,F1,16.292134831460675,JT_test,0.1,0.559396
3,2,F1,16.292134831460675,DD_test,0.1,0.643952
3,2,F1,16.853932584269664,JT_test,0.01,0.0
3,2,F1,16.853932584269664,DD_test,0.01,0.0
3,2,F1,16.853932584269664,JT_test,0.05,0.279972
3,2,F1,16.853932584269664,DD_test,0.05,0.424456
3,2,F1,16.853932584269664,JT_test,0.1,0.570796
3,2,F1,16.853932584269664,DD_test,0.1,0.660844
3,2,F1,17.415730337078653,JT_test,0.01,0.0
3,2,F1,17.415730337078653,DD_test,0.01,0.0
3,2,F1,17.415730337078653,JT_test,0.05,0.28494
3,2,F1,17.415730337078653,DD_test,0.05,0.436976
3,2,F1,17.415730337078653,JT_test,0.1,0.581012
3,2,F1,17.415730337078653,DD_test,0.1,0.676544
3,2,F1,17.97752808988764,JT_test,0.01,0.0
3,2,F1,17.97752808988764,DD_test,0.01,0.0
3,2,F1,17.97752808988764,JT_test,0.05,0.288928
3,2,F1,17.97752808988764,DD_test,0.05,0.446164
3,2,F1,17.97752808988764,JT_test,0.1,0.587608
3,2,F1,17.97752808988764,DD_test,0.1,0.691468
3,2,F1,18.53932584269663,JT_test,0.01,0.0
3,2,F1,18.53932584269663,DD_test,0.01,0.0
